	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я
а	0.00030531088943619981	0.00151613131582044596	0.00552035094683291008	0.00149137637883913236	0.00312520221960582321	0.00171590800023104601	0.00151613131582044596	0.00507172200118910597	0.00159734488100475515	0.00074525389227954320	0.00617700822254775225	0.01067893237602662339	0.00403505472795410037	0.00750335168817812745	0.00148877059599899423	0.00284985783283121363	0.00387479908328559669	0.00602109554927947929	0.00654876657440747745	0.00055980901348970347	0.00071702457817804529	0.00123818114620569781	0.00013159203342698228	0.00138540787667350979	0.00159169901818445548	0.00028185884387495544	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00034352903775822767	0.00089595499986753937	0.00299491307759891003
б	0.00114524155824076651	0.00001563469704082958	0.00010292842218546138	0.00001302891420069131	0.00002909790838154393	0.00247896807525153397	0.00000825164566043783	0.00000434297140023044	0.00087988600568668677	0.00000000000000000000	0.00024581218125304278	0.00091593266830859938	0.00004950987396262700	0.00034526622631831982	0.00264573817702038307	0.00000868594280046088	0.00131982900853003021	0.00009380818224497746	0.00000998883422053001	0.00122602082628505272	0.00000000000000000000	0.00011378585068603748	0.00000347437712018435	0.00002692642268142872	0.00000651445710034566	0.00023278326705235148	0.00011856311922629096	0.00472775866629085526	0.00004342971400230438	0.00004256111972225829	0.00000477726854025348	0.00051681359662742214
в	0.00654008063160701689	0.00025970968973378018	0.00046469793982465687	0.00039911907168117724	0.00077348320638104099	0.00535097506222392306	0.00005993300532318004	0.00070964152679765357	0.00400421963101246347	0.00000000000000000000	0.00079606665766223934	0.00138280209383337144	0.00044993183706387339	0.00184967151935814351	0.00926138651099140883	0.00107271393585691810	0.00097325989079164116	0.00444676841669594536	0.00078781501200180144	0.00108791433575772473	0.00002996650266159002	0.00008772802228465485	0.00004256111972225829	0.00021671427287149885	0.00144751236769680505	0.00000825164566043783	0.00001606899418085262	0.00294714039219637521	0.00019109074161013928	0.00031356253509663760	0.00000217148570011522	0.00027404149535454063
г	0.00111614364985922264	0.00003952103974209699	0.00012030030778638313	0.00001737188560092175	0.00130419431148920059	0.00062104491023295266	0.00000955453708050696	0.00004516690256239655	0.00091072110262832291	0.00000000000000000000	0.00013550070768718968	0.00172285675447141485	0.00002562353126135959	0.00039173602030078553	0.01059554732514219992	0.00011899741636631400	0.00140017397943429322	0.00019803949585050798	0.00003083509694163611	0.00078868360628184752	0.00000304007998016131	0.00000347437712018435	0.00000304007998016131	0.00004299541686228134	0.00000955453708050696	0.00000000000000000000	0.00000000000000000000	0.00000130289142006913	0.00000217148570011522	0.00000868594280046088	0.00000434297140023044	0.00000825164566043783
д	0.00506694473264885249	0.00008381934802444745	0.00126033030034687307	0.00006644746242352570	0.00007513340522398658	0.00528800197692058140	0.00002432063984129045	0.00004777268540253482	0.00304051427730132971	0.00000000000000000000	0.00031225964367656849	0.00095719089661078856	0.00017241596458914839	0.00214542787171383620	0.00439638994845327220	0.00024364069555292758	0.00220579517417703952	0.00059238129899143177	0.00032919723213746722	0.00193913673020289050	0.00002301774842122132	0.00005472143964290352	0.00020151387297069232	0.00007035613668373310	0.00015243829614808839	0.00000086859428004609	0.00020021098155062321	0.00071659028103802230	0.00046904091122488732	0.00002692642268142872	0.00005081276538269613	0.00049987600816652346
е	0.00019977668441060014	0.00236127355030528929	0.00368718271879564172	0.00461180132990470209	0.00405155801927497596	0.00231523805346284641	0.00146531855043774981	0.00205900274084925075	0.00158996182962436333	0.00288764168401321828	0.00216801132299503487	0.00754721569932045519	0.00574401397394477733	0.01029848808136643763	0.00199429246698581714	0.00319208397916937196	0.00820517586645536610	0.00650316537470505777	0.00521851443451689431	0.00062712507019327521	0.00007469910808396353	0.00129681126010880877	0.00028793900383527804	0.00164946053780752047	0.00087033146860617981	0.00071659028103802230	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00033006582641751330	0.00033267160925765153	0.00056154620204979563
ж	0.00158692174964420200	0.00007209332524382527	0.00002214915414117523	0.00002041196558108306	0.00087901741140664069	0.00438249243997253495	0.00002258345128119828	0.00000781734852041479	0.00161688825230579206	0.00000000000000000000	0.00010640279930564573	0.00000738305138039175	0.00002388634270126741	0.00141711156789519200	0.00006123589674324917	0.00001259461706066827	0.00000564586282029957	0.00004299541686228134	0.00002128055986112915	0.00018370769022974754	0.00000043429714002304	0.00000130289142006913	0.00000000000000000000	0.00005168135966274221	0.00000043429714002304	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00004777268540253482	0.00001346321134071436	0.00003430947406182046	0.00000738305138039175
з	0.00613922437136574760	0.00024277210127288148	0.00103449578753489024	0.00050421897956675385	0.00085990833724562676	0.00029836213519583108	0.00019803949585050798	0.00012290609062652139	0.00045080043134391947	0.00000000000000000000	0.00029315056951555456	0.00027751587247472500	0.00040302774594138465	0.00205292258088892810	0.00083211332028415195	0.00020368535867080754	0.00028924189525534715	0.00036698108331947204	0.00009033380512479311	0.00033918606635799722	0.00000651445710034566	0.00000477726854025348	0.00000998883422053001	0.00004299541686228134	0.00002518923412133654	0.00000130289142006913	0.00001824047988096784	0.00065231430431461179	0.00069791550401703136	0.00004256111972225829	0.00007817348520414788	0.00054417431644887386
и	0.00032224847789709849	0.00147313589895816462	0.00522242310877710138	0.00123253528338539836	0.00288894457543328745	0.00371714922145723178	0.00065144571003456571	0.00286896690699222755	0.00243510406410920666	0.00146966152183798031	0.00345092507462310596	0.00578961517364719701	0.00405503239639515983	0.00578527220224696673	0.00197084042142457293	0.00268004765108220341	0.00123036379768528300	0.00562023928903821000	0.00477944002595359716	0.00055546604208947298	0.00015678126754831880	0.00221230963127738494	0.00141798016217523797	0.00208636346067070247	0.00055242596210931176	0.00017502174742928665	0.00000043429714002304	0.00000000000000000000	0.00000000000000000000	0.00026578984969410278	0.00041605666014207597	0.00233565001904392951
й	0.00017024447888903317	0.00036046662621912635	0.00074134521801933579	0.00032485426073723678	0.00075480842936005016	0.00012811765630679791	0.00016286142750864143	0.00017806182740944795	0.00066881759563548748	0.00000217148570011522	0.00068575518409638616	0.00024407499269295062	0.00041084509446179945	0.00109052011859786307	0.00057848379051069431	0.00082863894316396753	0.00037696991754000204	0.00174717739431270525	0.00057674660195060215	0.00023582334703251277	0.00007079043382375614	0.00007296191952387136	0.00007122473096377918	0.00034917490057852723	0.00020411965581083058	0.00000304007998016131	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00007035613668373310	0.00000390867426020739	0.00007165902810380223
к	0.00846531985332917014	0.00047425247690516384	0.00077391750352106409	0.00014809532474785794	0.00026274976971394151	0.00057370652197044083	0.00022974318707219018	0.00009901974792525399	0.00319946703054976378	0.00000043429714002304	0.00038869594032062420	0.00049162436250608556	0.00019934238727057710	0.00229308889932167137	0.01003400112309240332	0.00040129055738129249	0.00189092974766033269	0.00061670193883272217	0.00078520922916166321	0.00177888108553438747	0.00002258345128119828	0.00004125822830218916	0.00002518923412133654	0.00015938705038845709	0.00002953220552156698	0.00000260578284013826	0.00000000000000000000	0.00000000000000000000	0.00000086859428004609	0.00010770569072571486	0.00000868594280046088	0.00006948754240368701
л	0.00803666857612642636	0.00030617948371624589	0.00077826047492129448	0.00040476493450147680	0.00065926305855498052	0.00530928253678171046	0.00047034380264495643	0.00015330689042813446	0.00790507654269944314	0.00000043429714002304	0.00130158852864906225	0.00018935355305004710	0.00014114657050748924	0.00112396099837963745	0.00812483089555110331	0.00102667843901447565	0.00024928655837322714	0.00214977084311406691	0.00037479843183988679	0.00152177717864074541	0.00004342971400230438	0.00004082393116216612	0.00001172602278062218	0.00065057711575451963	0.00005211565680276526	0.00000694875424036870	0.00000000000000000000	0.00119605432362346266	0.00428347269204728143	0.00012855195344682098	0.00126554186602714975	0.00218538320859595642
м	0.00330630412699543233	0.00035091208913861938	0.00077218031496097193	0.00037870710610009420	0.00040954220304173028	0.00343529037758227634	0.00013550070768718968	0.00017589034170933273	0.00453797081610078472	0.00000043429714002304	0.00064840563005440438	0.00031095675225649937	0.00028142454673493240	0.00196172018148408874	0.00475338219755221461	0.00103883875893512074	0.00025102374693331930	0.00106272510163638815	0.00033354020353769766	0.00299882175185911754	0.00005602433106297265	0.00007383051380391745	0.00003995533688212003	0.00053331688794829783	0.00006775035384359484	0.00000738305138039175	0.00000000000000000000	0.00095415081663062723	0.00004777268540253482	0.00008164786232433223	0.00003517806834186655	0.00058152387049085564
