Символ	Частота
 	0.16185105548863920610
о	0.09655137519469746132
е	0.06943805918074731631
а	0.06866309140433697611
и	0.05684128376014802031
н	0.05426230456998024781
т	0.04914875486447892183
с	0.04465947464537670802
л	0.04198403398938050507
в	0.03876185702517935538
р	0.03711473199546740098
к	0.02813981161257726391
д	0.02574247118259209016
м	0.02482772528211338661
у	0.02279621041121340785
п	0.02205582316028874279
я	0.01844707232171099998
г	0.01649381864006805448
ь	0.01635367651046825202
ы	0.01622481855234272213
б	0.01456313330137364720
з	0.01435164608761394824
ч	0.01211446809145711768
й	0.00937387044533528717
ж	0.00892577963614735008
ш	0.00778316627299468437
х	0.00720730952227550091
ю	0.00516014241352411550
ц	0.00303799016529855172
э	0.00257060706294492871
щ	0.00247960568008791455
ф	0.00171519406408899796
ъ	0.00035963746505091889
Ентропія: 4.378825960204634
Надлишковість: 0.13194214080133504
