	 	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я
 	0.00000000000000000000	0.00233072826613182080	0.00715926339813847522	0.01482667870312062014	0.00461449980161691281	0.00751780897710768378	0.00418460911251779082	0.00197764277212153419	0.00382788356186822276	0.01123503481714175495	0.00000473207363106570	0.00980667659188776998	0.00262739288223324749	0.00551322978585546807	0.01546041256401949580	0.01202856716450508012	0.01546077656968342443	0.00411180797973216463	0.01578037354261232345	0.00724553274048944217	0.00367099712071519832	0.00075458374132301499	0.00108546488983368586	0.00033998129010887409	0.00553179407471580259	0.00077278402451942153	0.00005787690056457278	0.00000036400566392813	0.00000000000000000000	0.00000036400566392813	0.00251964720571052096	0.00003021247010603485	0.00137339337000083714
а	0.01662559469425344341	0.00000764411894249074	0.00059442124919463751	0.00320106580858398135	0.00081136862489580343	0.00186880507860702309	0.00093294651664779901	0.00114770985836539613	0.00388721648508850819	0.00011429777847343305	0.00062463371930067228	0.00404665096588902908	0.00869682332257089991	0.00271257020759243031	0.00448673381357813945	0.00000582409062285009	0.00088271373502571697	0.00284033619563120411	0.00348899428875113285	0.00473098161407391540	0.00012084988042413940	0.00052234812773686759	0.00094532270922135543	0.00006624903083491979	0.00072873933918411770	0.00126127962551097301	0.00023041558526650674	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000036400566392813	0.00074730362804445232	0.00233291230011538992
б	0.00022277146632401599	0.00095005478285242122	0.00000946414726213140	0.00007898922907240437	0.00000982815292605953	0.00002147633417175971	0.00206937219943142308	0.00000655210195070635	0.00000072801132785626	0.00070981104465985489	0.00000000000000000000	0.00020311516047189694	0.00076659592823264332	0.00003931261170423812	0.00027919234423287625	0.00215636955311024640	0.00000000000000000000	0.00110439318435794857	0.00007170911579384175	0.00000655210195070635	0.00100865969474485027	0.00000000000000000000	0.00009536948394917025	0.00000291204531142505	0.00001965630585211906	0.00000473207363106570	0.00019510703586547807	0.00009937354625237969	0.00396256565752163125	0.00003640056639281307	0.00000036400566392813	0.00000400406230320944	0.00042770665511555358
в	0.00636718707343086280	0.00539274391109525672	0.00001383221522926897	0.00003166849276174737	0.00003458053807317242	0.00029921265574892346	0.00433385143472832420	0.00000072801132785626	0.00048558355568012636	0.00306092362797165136	0.00000000000000000000	0.00013031402768627081	0.00102030787599055031	0.00013067803335019892	0.00109456503143188903	0.00735983051896287477	0.00023987973252863814	0.00062208567965317541	0.00304272334477524459	0.00019401501887369367	0.00079717240400260629	0.00000000000000000000	0.00004186065135173504	0.00001164818124570018	0.00003749258338459747	0.00116627414722573087	0.00000400406230320944	0.00001346820956534084	0.00247014243541629529	0.00016016249212837751	0.00000072801132785626	0.00000036400566392813	0.00020384317179975321
г	0.00077933612647012793	0.00092930646000851768	0.00000000000000000000	0.00003785658904852559	0.00000109201699178439	0.00102722398360518500	0.00050705988985188610	0.00000145602265571252	0.00000109201699178439	0.00070981104465985489	0.00000000000000000000	0.00007680519508883558	0.00143964240083575704	0.00000436806796713757	0.00024934387979076955	0.00881803720865896590	0.00000000000000000000	0.00115462596598003061	0.00006770505349063231	0.00000982815292605953	0.00063664590621030062	0.00000000000000000000	0.00000000000000000000	0.00000145602265571252	0.00002584440213889728	0.00000764411894249074	0.00000000000000000000	0.00000000000000000000	0.00000109201699178439	0.00000182002831964065	0.00000000000000000000	0.00000364005663928131	0.00000109201699178439
д	0.00110766923533330182	0.00423411388281201648	0.00003239650408960364	0.00096279498108990571	0.00000728011327856261	0.00002693641913068167	0.00441029262415323225	0.00001383221522926897	0.00000254803964749692	0.00245740223717881047	0.00000000000000000000	0.00018091081497228096	0.00078807226240440302	0.00011065772183415174	0.00167078599743011999	0.00362440439573239771	0.00009828152926059530	0.00181420422901780345	0.00037128577720669332	0.00023878771553685374	0.00160344494960341574	0.00000618809628677822	0.00004258866267959130	0.00016562257708729948	0.00003094048143389111	0.00012157789175199566	0.00000036400566392813	0.00016780661107086828	0.00060060934548141571	0.00039312611704238120	0.00000036400566392813	0.00004222465701566316	0.00041496645687806903
е	0.01707696171752432629	0.00002802843612246607	0.00110111713338259553	0.00147131089359750435	0.00339071275949053789	0.00257279203264402807	0.00159907688163627836	0.00103159205157232238	0.00118884249838927501	0.00017617874134121528	0.00242027365945814100	0.00098390730959773743	0.00598134106966704410	0.00389449659836707063	0.00729430949945581147	0.00048740358399976702	0.00092239035239388321	0.00644908834781469237	0.00370157359648516128	0.00363896462228952304	0.00007061709880205736	0.00000910014159820327	0.00093149049399208648	0.00021512734738152525	0.00091583825044317692	0.00066358232534098225	0.00059660528317820630	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00027628029892145124	0.00034908143170707737
ж	0.00019838308684083124	0.00132898467900160523	0.00005241681560565082	0.00000000000000000000	0.00001310420390141271	0.00072582729387269263	0.00366408101310056406	0.00001783627753247841	0.00000000000000000000	0.00134609294520622743	0.00000000000000000000	0.00007862522340847623	0.00000327605097535318	0.00000691610761463448	0.00116299809625037762	0.00004113264002387877	0.00000000000000000000	0.00000254803964749692	0.00002256835116354410	0.00000000000000000000	0.00015179036185803050	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00004004062303209438	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00004004062303209438	0.00000036400566392813	0.00002875644745032233	0.00000000000000000000
з	0.00124890343293741659	0.00513211585572271537	0.00016817061673479638	0.00077169200752763708	0.00038438998110810606	0.00065193414409528210	0.00023150760225829113	0.00015615842982516807	0.00007498516676919493	0.00033852526745316156	0.00000000000000000000	0.00012303391440770818	0.00021185129640617208	0.00026790816865110423	0.00161909719315232541	0.00061990164566960661	0.00002657241346675354	0.00020093112648832817	0.00015324638451374303	0.00001528823788498149	0.00026062805537254162	0.00000000000000000000	0.00000000000000000000	0.00000400406230320944	0.00001528823788498149	0.00001019215858998766	0.00000000000000000000	0.00001528823788498149	0.00054673650722005234	0.00058495710193250605	0.00000000000000000000	0.00006552101950706352	0.00045282304592659460
и	0.01903312815547409872	0.00007789721208061997	0.00040768634359950642	0.00242828178406456026	0.00047975946505727628	0.00153027981115386159	0.00266233742597034827	0.00038220594712453726	0.00191503379792589573	0.00080408851161724076	0.00123070314974101005	0.00185497286337775414	0.00455261883874913051	0.00286945664874545432	0.00301942698228384451	0.00017363070169371835	0.00017981879798049659	0.00050159980489296416	0.00283669613899192267	0.00314755697598654649	0.00000473207363106570	0.00002657241346675354	0.00172647886401112397	0.00114588983004575541	0.00121250286654460350	0.00034252932975637103	0.00013832215229268968	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00034398535241208356	0.00181311221202601911
