Block_Length,Compliance_Index
original,0.05113272778028302
k2,0.044615823524539626
k3,0.037953512913250075
k4,0.038089102805974544
k5,0.03138200458306108
k10,0.033182098452986815
k15,0.032583907749790635
k20,0.03233972323710132
