Н1 для тексту з пробілами:  4.367271375829809      R =  12.654572483403825 %
Н2 для тексту з пробілами (біграми перетинаються):  3.9577141050316333      R =  58.31288851835097 %
Н2 для тексту з пробілами (біграми не перетинаються):  3.957434097356912      R =  58.04488186589432 %
H1 без пробілів:  4.468635200737929
H2 без пробілів(біграми перетинаються):  4.1523148031376795

Таблиця кількості букв:
Символ Кількість  Частота   
еа    1          0.00000
ьн    352        0.00084
кр    886        0.00211
уг    514        0.00122
юм    12         0.00003
ми    1116       0.00266
дв    399        0.00095
рь    284        0.00068
вы    1025       0.00244
аш    378        0.00090
ше    767        0.00183
с     1954       0.00465
си    488        0.00116
ия    320        0.00076
яю    36         0.00009
ющ    119        0.00028
ди    820        0.00195
ял    437        0.00104
дл    217        0.00052
ох    244        0.00058
ож    679        0.00162
же    973        0.00232
жн    273        0.00065
ун    217        0.00052
бш    7          0.00002
ши    740        0.00176
ля    551        0.00131
ям    234        0.00056
тк    260        0.00062
тл    64         0.00015
вр    323        0.00077
вд    172        0.00041
оя    263        0.00063
ул    586        0.00140
сю    92         0.00022
юд    162        0.00039
иб    221        0.00053
рю    49         0.00012
юч    89         0.00021
чо    44         0.00010
 ш    394        0.00094
шл    261        0.00062
яп    11         0.00003
п     48         0.00011
ьт    40         0.00010
 л    1276       0.00304
юб    74         0.00018
ви    1105       0.00263
лс    862        0.00205
ьш    350        0.00083
лу    642        0.00153
уб    232        0.00055
са    539        0.00128
ую    404        0.00096
лм    61         0.00015
 е    1328       0.00316
им    886        0.00211
уж    494        0.00118
еи    30         0.00007
ых    477        0.00114
сх    79         0.00019
иц    139        0.00033
ца    196        0.00047
сп    706        0.00168
кл    322        0.00077
 ц    106        0.00025
це    261        0.00062
ку    607        0.00145
рд    146        0.00035
бн    166        0.00040
ьк    368        0.00088
хр    54         0.00013
ие    673        0.00160
 э    736        0.00175
эт    497        0.00118
аж    418        0.00100
ее    258        0.00061
чш    53         0.00013
ву    200        0.00048
кн    142        0.00034
дя    104        0.00025
ящ    82         0.00020
щи    324        0.00077
ош    318        0.00076
вш    265        0.00063
ек    432        0.00103
ке    279        0.00066
ш     209        0.00050
ьм    51         0.00012
ят    495        0.00118
 ф    167        0.00040
фа    105        0.00025
бэ    171        0.00041
эг    105        0.00025
гг    102        0.00024
ги    409        0.00097
тя    234        0.00056
ях    108        0.00026
ап    364        0.00087
йс    112        0.00027
ик    782        0.00186
зв    306        0.00073
ео    126        0.00030
мо    1384       0.00330
мы    597        0.00142
ае    336        0.00080
ию    76         0.00018
вт    87         0.00021
ян    222        0.00053
бс    57         0.00014
вл    209        0.00050
ещ    417        0.00099
рш    83         0.00020
ша    334        0.00080
уп    248        0.00059
пк    31         0.00007
ыт    253        0.00060
ув    238        0.00057
ио    44         0.00010
вп    135        0.00032
нц    140        0.00033
цо    97         0.00023
кс    33         0.00008
кт    174        0.00041
уй    65         0.00015
ои    340        0.00081
др    665        0.00158
ыс    300        0.00071
ец    154        0.00037
ц     161        0.00038
рн    520        0.00124
иж    103        0.00025
лш    88         0.00021
бщ    47         0.00011
ум    530        0.00126
сш    42         0.00010
шу    125        0.00030
як    79         0.00019
еу    27         0.00006
юж    17         0.00004
юш    32         0.00008
яр    49         0.00012
ущ    100        0.00024
ж     133        0.00032
лт    34         0.00008
шм    13         0.00003
шв    11         0.00003
гу    229        0.00055
бу    453        0.00108
ур    259        0.00062
ры    722        0.00172
вк    101        0.00024
ьц    89         0.00021
цы    59         0.00014
см    324        0.00077
ею    45         0.00011
еп    396        0.00094
лж    90         0.00021
ьб    726        0.00173
нд    265        0.00063
оп    699        0.00166
чу    230        0.00055
дт    79         0.00019
вз    199        0.00047
ьф    392        0.00093
фо    121        0.00029
ьз    60         0.00014
дь    189        0.00045
лн    166        0.00040
мь    18         0.00004
нг    12         0.00003
тч    37         0.00009
ьг    7          0.00002
св    620        0.00148
ын    76         0.00018
пи    362        0.00086
йн    168        0.00040
дс    94         0.00022
бя    142        0.00034
яв    98         0.00023
ай    263        0.00063
лг    86         0.00020
пя    132        0.00031
сн    559        0.00133
тц    14         0.00003
иш    218        0.00052
ою    66         0.00016
