Н1 для тексту з пробілами:  4.367271375829809      R =  12.654572483403825 %
Н2 для тексту з пробілами (біграми перетинаються):  3.9577141050316333      R =  58.31288851835097 %
Н2 для тексту з пробілами (біграми не перетинаються):  3.957434097356912      R =  58.04488186589432 %
H1 без пробілів:  4.468635200737929
H2 без пробілів(біграми перетинаються):  4.1523148031376795

Таблиця кількості букв:
Символ Кількість  Частота   
дц    49         0.00023
ою    36         0.00017
яб    5          0.00002
фу    25         0.00012
цу    19         0.00009
кв    34         0.00016
бп    1          0.00000
лв    7          0.00003
дх    9          0.00004
сю    50         0.00024
ыз    11         0.00005
пп    2          0.00001
пы    71         0.00034
жл    8          0.00004
уе    19         0.00009
фо    55         0.00026
яг    25         0.00012
ща    93         0.00044
фе    11         0.00005
жь    4          0.00002
бс    26         0.00012
эй    6          0.00003
мг    6          0.00003
аи    28         0.00013
лд    10         0.00005
рф    6          0.00003
нк    35         0.00017
фы    36         0.00017
рз    9          0.00004
ея    36         0.00017
мр    19         0.00009
оц    20         0.00010
сд    38         0.00018
нр    14         0.00007
мс    27         0.00013
хе    12         0.00006
рл    43         0.00020
рц    20         0.00010
хл    34         0.00016
ау    51         0.00024
рэ    1          0.00000
пф    1          0.00000
зб    41         0.00020
дп    17         0.00008
йщ    1          0.00000
зь    32         0.00015
мщ    16         0.00008
иа    9          0.00004
вм    20         0.00010
ци    14         0.00007
ыб    28         0.00013
вж    3          0.00001
хш    2          0.00001
шь    74         0.00035
жр    4          0.00002
ьи    14         0.00007
яч    18         0.00009
ыч    24         0.00011
йл    17         0.00008
бч    2          0.00001
юл    2          0.00001
вх    19         0.00009
цы    26         0.00012
ип    45         0.00021
лт    16         0.00008
юг    16         0.00008
лз    14         0.00007
уц    6          0.00003
йи    2          0.00001
тц    7          0.00003
ыя    7          0.00003
вв    17         0.00008
яз    30         0.00014
ио    13         0.00006
бх    5          0.00002
рч    37         0.00018
йу    2          0.00001
юк    15         0.00007
юн    6          0.00003
тю    10         0.00005
вб    4          0.00002
тб    7          0.00003
нч    42         0.00020
зх    3          0.00001
йм    15         0.00007
ао    6          0.00003
сц    8          0.00004
дш    11         0.00005
лщ    1          0.00000
сз    3          0.00001
йч    31         0.00015
лч    13         0.00006
пт    31         0.00015
щн    9          0.00004
ыд    16         0.00008
нж    12         0.00006
тщ    3          0.00001
лр    9          0.00004
сщ    1          0.00000
цв    18         0.00009
мх    2          0.00001
уя    11         0.00005
тм    3          0.00001
лп    3          0.00001
ыщ    2          0.00001
фл    3          0.00001
бм    5          0.00002
мд    2          0.00001
яц    2          0.00001
хт    5          0.00002
щь    13         0.00006
яш    4          0.00002
эх    4          0.00002
зз    3          0.00001
чл    5          0.00002
шв    6          0.00003
дд    10         0.00005
яе    11         0.00005
кш    2          0.00001
пь    13         0.00006
нщ    5          0.00002
юх    8          0.00004
юз    5          0.00002
шп    2          0.00001
йц    2          0.00001
нз    6          0.00003
лб    8          0.00004
чр    2          0.00001
хс    13         0.00006
шт    2          0.00001
тг    7          0.00003
рп    13         0.00006
яй    10         0.00005
мф    2          0.00001
сж    3          0.00001
пч    5          0.00002
ыи    2          0.00001
зт    6          0.00003
рб    3          0.00001
ыж    4          0.00002
дб    10         0.00005
йз    1          0.00000
тх    1          0.00000
бг    2          0.00001
сг    13         0.00006
уа    2          0.00001
ьщ    2          0.00001
жг    6          0.00003
э     2          0.00001
гт    1          0.00000
юв    1          0.00000
жм    3          0.00001
рр    4          0.00002
фт    1          0.00000
нш    6          0.00003
дю    3          0.00001
йе    1          0.00000
мц    2          0.00001
юф    1          0.00000
эк    4          0.00002
вч    2          0.00001
дм    3          0.00001
чв    1          0.00000
гч    4          0.00002
що    1          0.00000
дч    4          0.00002
вг    1          0.00000
жб    3          0.00001
цк    4          0.00002
мт    1          0.00000
 й    1          0.00000
дг    2          0.00001
бд    6          0.00003
вщ    3          0.00001
пс    1          0.00000
уи    6          0.00003
эп    1          0.00000
уо    1          0.00000
бв    1          0.00000
жж    1          0.00000
эс    5          0.00002
зш    1          0.00000
жч    1          0.00000
бз    1          0.00000
оа    4          0.00002
пщ    1          0.00000
бт    1          0.00000
мм    1          0.00000
ьг    2          0.00001
гв    3          0.00001
аф    1          0.00000
кц    1          0.00000
юп    1          0.00000


