, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
х,0.0029263060699385745,0.0005658369601324227,2.8151092543901627e-06,0.0001660914460090196,5.770973971499834e-05,0,6.333995822377867e-05,0,0,0.0003138846818645032,0,7.037773135975407e-06,0.0001674990006362147,5.770973971499834e-05,0.0003321828920180392,0.001780556603401778,0,0.00019565009318011633,4.50417480702426e-05,2.111331940792622e-05,0.00018438965616255566,0,2.8151092543901627e-06,0,0,2.3928428662316386e-05,0,0,7.037773135975407e-06,2.8151092543901627e-06,0,0
ц,0.0003476659929171851,0.0006319920276105916,1.4075546271950814e-06,6.333995822377867e-05,0,0,0.0008318647846722932,0,0,0.00028291848006621134,0,1.4075546271950814e-05,5.630218508780325e-06,0,0,0.0002575824967766999,0,3.8003974934267196e-05,0,2.8151092543901627e-06,0.00015483100899145897,0,0,2.8151092543901627e-06,0,0,0,0.00015623856361865403,0,0,0,0
ч,0.0005334632037069358,0.0022436420757489597,0,1.4075546271950814e-06,0,0,0.003791952165663549,0,0,0.0015511251991689797,0,0.0004912365648910834,2.5335983289511466e-05,4.222663881585245e-06,0.0007783777088388801,6.333995822377867e-05,0,6.615506747816882e-05,0,0.0030487633225045464,0.0004785685732463277,0,0,0,0,5.207952120621801e-05,0,0,0.00025476738752230974,0,0,0
ш,7.460039524133932e-05,0.001020477104716434,0,6.474751285097375e-05,0,0,0.002059252419586404,0,0,0.0018058925866912894,0,0.00039130018636023266,0.0004293041612944998,7.037773135975407e-06,0.00038144730396986705,0.000242099395877554,4.785685732463277e-05,5.630218508780325e-06,0,9.571371464926554e-05,0.0003884850771058425,0,0,0,0,0,0,0,0.00033640555589962447,0,0,0
щ,3.378131105268196e-05,0.00044197215293925556,0,0,0,0,0.0012470933996948422,0,0,0.0010289224324796045,0,0,0,0,5.489463046060818e-05,4.222663881585245e-06,0,2.8151092543901627e-06,0,0,0.0001435705719738983,0,0,0,0,0,0,0,2.111331940792622e-05,0,0,0
ы,0.003807435266562695,0,0.0002561749421495048,0.0008332723392994882,0.00010134393315804587,9.85288239036557e-05,0.0008952047428960718,7.319284061414424e-05,7.460039524133932e-05,2.8151092543901627e-06,0.0017833717126561682,0.00020128031168889664,0.0019142742929853108,0.0012386480719316717,0.00015201589973706879,0,0.0001365327988379229,0.00025195227826791956,0.0006643657840360785,0.0005475387499788867,0,0,0.0008374950031810734,1.5483100899145895e-05,0.00015201589973706879,0.0004996818926542539,7.037773135975407e-06,0,0,0,0,1.5483100899145895e-05
ь,0.009281415211724367,0,3.941152956146228e-05,3.941152956146228e-05,7.460039524133932e-05,0.00010838170629402127,0.0008853518605057062,1.4075546271950814e-06,0.000121049697938777,5.911729434219342e-05,0,0.0009050576252864373,0,0.00022520874035121302,0.0012470933996948422,7.037773135975407e-06,1.126043701756065e-05,1.4075546271950814e-06,0.0007037773135975407,0.0002449145051319442,0,1.2667991644755733e-05,0,0.00011823458868438683,5.911729434219342e-05,0.00032233000962767367,9.85288239036557e-06,0,0,4.222663881585245e-06,0.00032936778276364904,0.000415228615022549
э,1.4075546271950814e-05,0,0,0,4.222663881585245e-06,0,0,0,4.222663881585245e-06,0,9.85288239036557e-06,3.096620179829179e-05,2.111331940792622e-05,9.85288239036557e-06,1.689065552634098e-05,0,4.222663881585245e-06,1.126043701756065e-05,1.4075546271950814e-05,0.0024139561856395646,0,7.037773135975407e-06,2.3928428662316386e-05,0,0,0,0,0,0,0,0,0
ю,0.0025814551862757794,0,0.0001674990006362147,1.689065552634098e-05,8.44532776317049e-06,0.00023365406811438351,0,5.630218508780325e-06,1.4075546271950814e-06,0,0,3.659642030707212e-05,2.6743537916706547e-05,6.05248489693885e-05,3.941152956146228e-05,0,1.4075546271950814e-06,4.644930269743769e-05,0.00017031410989060486,0.0002885486985749917,0,1.4075546271950814e-06,6.615506747816882e-05,1.689065552634098e-05,0.0001140119248028016,3.2373756425486873e-05,0.0004701232454831572,0,0,0,5.770973971499834e-05,1.4075546271950814e-06
я,0.009336309842184976,0,2.25208740351213e-05,0.0004461948168208408,9.712126927646062e-05,0.0005517614138604719,9.289860539487537e-05,0.00011964214331158193,0.000258990051403895,2.6743537916706547e-05,4.785685732463277e-05,0.00019987275706170158,0.000812159019891562,0.0003054393541013327,0.0005475387499788867,0,5.770973971499834e-05,9.289860539487537e-05,0.0007586719440581489,0.0012386480719316717,1.126043701756065e-05,7.037773135975407e-06,0.00014779323585548354,4.222663881585244e-05,0.00015623856361865403,2.3928428662316386e-05,0.00037018686695230644,0,0,0,0.00014216301734670323,0.00013090258032914258
