,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
р,0.009007411669657985,0.00012545141601194966,0.000746017753884394,0.0012327692480107587,0.00036464544920806704,0.00668739681621033,0.00027766580077311526,9.032501952860376e-05,0.0069449903904215335,0,0.0005653677148271865,0.00032951905272472114,0.0002709750585858113,0.0013230942675393625,0.009549361786829608,0.00028435654296041923,0.00010705187499686372,0.00031111951170963517,0.0011524803417631109,0.003010833984286792,6.690742187303982e-06,0.0002609389453048553,7.861622070082179e-05,0.0002609389453048553,0.0005402774316247966,4.8507880857953874e-05,0.0015873785839378698,0.000740999697243916,3.010833984286792e-05,0.0002994107128818532,0.0012310965624639327
с,0.0020339856249404105,0.00024755746093024734,0.0020574032225959744,0.00017061392577625155,0.00040144453123823893,0.0035578021580988926,0.0001471963281206876,0.00012043335937147169,0.00229325188469844,0,0.004944458476417643,0.002994107128818532,0.0008246339745852158,0.0014217827148020961,0.0032533733885765615,0.00229325188469844,0.0002743204296794633,0.0013532026073822304,0.01118190288053178,0.0009835391015336854,4.6835195311127875e-05,0.0001839954101508595,0.00010872456054368971,0.00046333389647080077,0.00017730466796355552,3.345371093651991e-06,0.00038137230467632697,0.0041064430174578195,5.352593749843186e-05,0.0001137426171841677,0.004489488007680972
т,0.006776049150192108,0.0002709750585858113,0.002975707587803446,0.00017061392577625155,0.000371336191395371,0.0069382996482342295,0.00017061392577625155,0.00019235883788498948,0.00458650376939688,0,0.0012695683300409306,0.00039809916014458695,0.0002676296874921593,0.0021393648143904482,0.016230067860852633,0.000777798779274088,0.0035327118748965025,0.00150374430659657,0.000356282021473937,0.0025207371190667754,9.701576171590775e-05,5.352593749843186e-05,2.8435654296041925e-05,0.0007042006152137441,4.014445312382389e-05,1.3381484374607965e-05,0.0016743582323728214,0.0053977562596074875,0.0001522143847611656,8.530696288812577e-05,0.0006055121679510104
у,0.00031446488280328715,0.0009919025292678154,0.0016676674901855175,0.0012444780468385407,0.0024120125585230857,0.0003044287695223312,0.00149538087886244,0.0005068237206882766,0.0008480515722407798,0.00017395929686990353,0.001557270244095002,0.0026980417870303306,0.0014385095702703563,0.0015254892187053079,0.00039475378905093496,0.0015338526464394378,0.0013013493554306244,0.0020490397948618446,0.002306633369073048,0.00019068615233816348,0.0002659570019453333,0.0010353923534852912,1.6726855468259957e-05,0.0011574983984035888,0.0008614330566153877,0.0003010833984286792,0,0,9.534307616908174e-05,0.001182588681605979,0.0001856680956976855
ф,0.0003245009960842431,1.6726855468259956e-06,5.018056640477986e-06,0,1.6726855468259956e-06,0.0005988214257637064,1.6726855468259956e-06,0,0.00040144453123823893,0,1.6726855468259956e-06,0.00010537918945003772,0,8.363427734129978e-06,0.0002994107128818532,3.345371093651991e-06,0.0002258125488215094,2.8435654296041925e-05,2.0072226561911945e-05,6.188936523256184e-05,1.3381484374607965e-05,0,0,1.6726855468259956e-06,0,0,3.67990820301719e-05,1.6726855468259957e-05,0,0,1.6726855468259956e-06
х,0.000749363124978046,0.00013046947265242764,0.0004850788085795387,0.00016057781249529556,0.0001505416992143396,0.0001154153027309937,2.676296874921593e-05,0.00010537918945003772,0.0006540200488089643,0,0.0002860292285072452,0.0003044287695223312,0.00020908569335324943,0.0006607107909962683,0.0023016153124325697,0.0004432616699088888,0.0003345371093651991,0.00036297276366124105,0.0001522143847611656,0.0003211556249905911,2.5090283202389933e-05,2.8435654296041925e-05,3.345371093651991e-06,8.196159179447379e-05,5.687130859208385e-05,1.6726855468259956e-06,0,8.363427734129978e-06,4.516250976430188e-05,0,2.3417597655563937e-05
ц,0.000757726552712176,1.6726855468259957e-05,0.0001154153027309937,1.0036113280955973e-05,1.6726855468259957e-05,0.0009935752148146413,0,8.363427734129978e-06,0.00038137230467632697,0,3.67990820301719e-05,1.1708798827781969e-05,1.0036113280955973e-05,3.67990820301719e-05,0.0003412278515525031,4.516250976430188e-05,5.185325195160586e-05,4.8507880857953874e-05,2.5090283202389933e-05,0.00019737689452546748,0,3.345371093651991e-06,3.345371093651991e-06,5.018056640477986e-06,1.6726855468259956e-06,0,0.0001856680956976855,0,3.345371093651991e-06,0,1.0036113280955973e-05
ч,0.002686332988202549,3.67990820301719e-05,6.356205077938783e-05,1.505416992143396e-05,1.3381484374607965e-05,0.004507887548696058,1.6726855468259956e-06,4.181713867064989e-05,0.001873407812445115,0,0.0006105302245914884,4.6835195311127875e-05,6.690742187303982e-06,0.0009969205859082933,0.00012377873046512367,8.028890624764778e-05,0.0001120699316373417,5.352593749843186e-05,0.003651472548721148,0.0006021667968573584,0,1.6726855468259956e-06,0,1.6726855468259956e-06,6.523473632621382e-05,0,0,0.0003027560839755052,3.345371093651991e-06,0,6.690742187303982e-06
ш,0.0012160423925424988,0,8.363427734129978e-05,3.345371093651991e-06,6.690742187303982e-06,0.0024471389550064313,0,1.6726855468259956e-06,0.0021544189843118824,0,0.00046500658201762676,0.0005151871484224066,8.363427734129978e-06,0.00046500658201762676,0.0002910472851477232,7.19254785135178e-05,1.6726855468259957e-05,6.690742187303982e-06,0.0001154153027309937,0.0004616612109239748,0,3.345371093651991e-06,0,1.6726855468259956e-06,0,0,0,0.00039977184569141294,0,0,0
щ,0.0005285686327970146,5.018056640477986e-06,5.018056640477986e-06,0,1.6726855468259956e-06,0.001483672080034658,0,0,0.0012244058202766288,0,3.345371093651991e-06,1.6726855468259956e-06,0,6.523473632621382e-05,8.363427734129978e-06,5.018056640477986e-06,3.345371093651991e-06,3.345371093651991e-06,3.345371093651991e-06,0.00017061392577625155,0,0,0,0,0,0,0,2.5090283202389933e-05,0,0,1.6726855468259956e-06
ы,9.367039062225575e-05,0.0004783880663922347,0.0014569091112854422,0.0002241398632746834,0.0002709750585858113,0.0011558257128567628,0.00012545141601194966,0.00023919403319611735,0.00038137230467632697,0.0021192925878285363,0.0004599885253771488,0.0023317236522754376,0.0016442498925299536,0.0006506746777153122,0.0002525755175707253,0.0006222390234192703,0.00039642647459776095,0.0012327692480107587,0.0008764872265368216,0.0001505416992143396,1.1708798827781969e-05,0.001048773837859899,1.839954101508595e-05,0.00029606534178820124,0.0006222390234192703,1.3381484374607965e-05,0,0,6.690742187303983e-05,0,6.188936523256184e-05
ь,0.0001873407812445115,0.00036297276366124105,0.0013314576952734925,0.00029773802733502723,0.0004800607519390607,0.0013063674120711026,4.8507880857953874e-05,0.0004399162988152368,0.0009183043652074716,0,0.0017245387987776014,0.00016225049804212155,0.0006874737597454842,0.0026746241893747667,0.0007995436913828259,0.0010822275487964192,0.00020406763671277145,0.0018248999315871612,0.0008697964843495177,0.00024421208983659536,5.687130859208385e-05,8.363427734129978e-05,0.0001505416992143396,0.0005536589159994045,0.0004248621288938029,2.0072226561911945e-05,0,0,0.00014886901366751361,0.000391408417957283,0.0006188936523256184
э,1.6726855468259956e-06,1.6726855468259956e-06,0,5.018056640477986e-06,3.345371093651991e-06,0,0,5.018056640477986e-06,0,1.1708798827781969e-05,4.014445312382389e-05,2.5090283202389933e-05,1.1708798827781969e-05,2.174491210873794e-05,0,6.690742187303982e-06,1.3381484374607965e-05,1.839954101508595e-05,0.0028686557128065823,1.6726855468259956e-06,8.363427734129978e-06,2.8435654296041925e-05,0,0,0,0,0,0,0,0,0
ю,7.69435351539958e-05,0.0002709750585858113,0.00033119173827154713,0.00013214215819925366,0.000374681562489023,3.5126396483345906e-05,5.687130859208385e-05,8.028890624764778e-05,0.00021243106444690144,0,0.0002676296874921593,9.199770507542976e-05,0.00019068615233816348,0.0002927199706945492,0.00017897735351038154,0.0003094468261628092,0.00017061392577625155,0.0004917695507668427,0.0004616612109239748,5.854399413890984e-05,4.181713867064989e-05,8.865233398177776e-05,3.67990820301719e-05,0.0002592662597580293,7.69435351539958e-05,0.0005687130859208385,0,0,1.839954101508595e-05,7.025279296669181e-05,3.67990820301719e-05
я,0.00023752134764929136,0.0004399162988152368,0.0019051888378348088,0.0004215167578001509,0.0010220108691106832,0.0002659570019453333,0.0002509028320238993,0.0006289297656065743,0.0009216497363011236,5.687130859208385e-05,0.0009768483593463814,0.001145789599575807,0.0006991825585732661,0.001886789296819723,0.0006055121679510104,0.001145789599575807,0.0003245009960842431,0.001888461982366549,0.0019503513475991109,0.0002860292285072452,8.196159179447379e-05,0.0002559208886643773,6.690742187303983e-05,0.0004951149218604947,0.00010705187499686372,0.0004482797265493668,0,0,0.0001471963281206876,0.00017061392577625155,0.00023417597655563937
