,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
р,0.009219827312232998,0.00012377852342257653,0.0007861608920082564,0.0012411305997236729,0.0003546087427781922,0.006500045162434222,0.00031111899130539507,0.00011374242692885411,0.007028612911103602,0,0.0005486399416568257,0.0003211550877991175,0.00026428387433469045,0.0013046925441839148,0.009410513145613725,0.00027431997082841286,0.00011374242692885411,0.0003077736258074876,0.0012177130412383205,0.0030108289481167263,6.690730995814947e-06,0.0002943921638158577,6.690730995814948e-05,0.0002509024123430605,0.0005285677486693809,4.6835116970704635e-05,0.0016057754389955875,0.000769434064518719,4.6835116970704635e-05,0.0002943921638158577,0.0011909501172550608
с,0.0020440183192214664,0.00023417558485352318,0.002117616360175431,0.00016057754389955874,0.0004181706872384342,0.003626376199731702,0.00017395900589118864,0.00011039706143094664,0.002130997822167061,0,0.005048156536342378,0.002957303100150207,0.0008229599124852386,0.0013883266816316017,0.0032148962434890823,0.002254776345589637,0.000254247777840968,0.0013582183921504343,0.011206974417990038,0.0009233208774224627,5.018048246861211e-05,0.00016392290939746623,0.00010036096493722422,0.0005118409211798435,0.00015723217840165127,3.3453654979074737e-06,0.0003646448392719147,0.0041181449279241,5.352584796651958e-05,0.00011708779242676159,0.0044459907467190325
т,0.006784401229756357,0.00023752095035143065,0.002893741155689965,0.00016392290939746623,0.00036129947377400715,0.006888107560191489,0.0001773043713890961,0.00019737656437654095,0.004499516594685552,0,0.00127123888920484,0.00036129947377400715,0.000260938508836783,0.0021376885531628757,0.01603768219696843,0.0008463774709705909,0.0034992523108112175,0.0015121052050541782,0.00037802630126354455,0.0024889519304431605,0.00010370633043513169,5.018048246861211e-05,2.0072192987444842e-05,0.0007560526025270891,4.0144385974889684e-05,1.672682748953737e-05,0.0017027910384349043,0.0054596364925849974,0.00013715998541420643,6.690730995814948e-05,0.0006222379826107901
у,0.0002910467983179502,0.0009367023394140927,0.0016927549419411818,0.001227749137732043,0.0024454621789703635,0.00030108289481167266,0.0014853422810709184,0.000501804824686121,0.0008631042984601283,0.00018399510238491107,0.0015923939770039577,0.002759926535773666,0.0014518886260918437,0.0015221413015479007,0.00036129947377400715,0.0015087598395562708,0.0013046925441839148,0.0019737656437654096,0.002355137310526862,0.0001773043713890961,0.0002709746053305054,0.0010470994008450394,1.672682748953737e-05,0.001137424269288541,0.0009032486844350179,0.00033788191528865487,0,0,7.359804095396443e-05,0.0011876047517571531,0.0002040672953723559
ф,0.0003345365497907474,0,0,0,3.3453654979074737e-06,0.0006322740791045126,0,0,0.00036129947377400715,0,3.3453654979074737e-06,9.367023394140927e-05,0,6.690730995814947e-06,0.00027431997082841286,3.3453654979074737e-06,0.00024086631584933812,3.0108289481167265e-05,1.672682748953737e-05,6.690730995814948e-05,1.3381461991629895e-05,0,0,0,0,0,3.345365497907474e-05,2.0072192987444842e-05,0,0,0
х,0.000762743333522904,0.00011708779242676159,0.0004917687281923987,0.0001773043713890961,0.00016057754389955874,0.000127123888920484,2.0072192987444842e-05,0.00012043315792466906,0.000642310175598235,0,0.00028770143282004273,0.00027431997082841286,0.00022748485385770822,0.000642310175598235,0.002351791945028954,0.0004348975147279716,0.0003980984942509894,0.0003646448392719147,0.00013715998541420643,0.0002910467983179502,3.0108289481167265e-05,2.676292398325979e-05,0,7.359804095396443e-05,4.0144385974889684e-05,3.3453654979074737e-06,0,1.3381461991629895e-05,3.6799020476982216e-05,0,2.0072192987444842e-05
ц,0.0007359804095396443,1.672682748953737e-05,0.00010370633043513169,2.0072192987444842e-05,1.0036096493722421e-05,0.000960119897899445,0,3.3453654979074737e-06,0.0004114799562426193,0,4.0144385974889684e-05,1.0036096493722421e-05,6.690730995814947e-06,3.0108289481167265e-05,0.00038806239775726696,6.690730995814948e-05,3.0108289481167265e-05,4.348975147279716e-05,3.6799020476982216e-05,0.00018064973688700358,0,3.3453654979074737e-06,0,3.3453654979074737e-06,3.3453654979074737e-06,0,0.00020741266087026338,0,3.3453654979074737e-06,0,1.0036096493722421e-05
ч,0.0026796377638238864,3.6799020476982216e-05,5.018048246861211e-05,6.690730995814947e-06,2.0072192987444842e-05,0.004509552691179274,0,3.345365497907474e-05,0.0018399510238491107,0,0.0006188926171128826,3.345365497907474e-05,1.0036096493722421e-05,0.0010504447663429468,0.00012377852342257653,9.367023394140927e-05,0.00010705169593303916,5.018048246861211e-05,0.003669865951204499,0.0006055111551212527,0,3.3453654979074737e-06,0,3.3453654979074737e-06,5.6871213464427054e-05,0,0,0.0002977375293137652,0,0,1.0036096493722421e-05
ш,0.001157496462275986,0,7.025267545605695e-05,3.3453654979074737e-06,3.3453654979074737e-06,0.002422044620485011,0,0,0.0020573997812130965,0,0.0004583150732133239,0.0005352584796651958,6.690730995814947e-06,0.00045496970771541644,0.0002709746053305054,6.3561944460242e-05,2.3417558485352318e-05,6.690730995814947e-06,0.0001304692544183915,0.0004583150732133239,0,0,0,0,0,0,0,0.0004181706872384342,0,0,0
щ,0.0004917687281923987,6.690730995814947e-06,0,0,0,0.001481996915573011,0,0,0.0011942954827529682,0,6.690730995814947e-06,3.3453654979074737e-06,0,7.359804095396443e-05,1.0036096493722421e-05,6.690730995814947e-06,6.690730995814947e-06,3.3453654979074737e-06,0,0.00015723217840165127,0,0,0,0,0,0,0,2.676292398325979e-05,0,0,3.3453654979074737e-06
ы,0.00010705169593303916,0.0004850779971965837,0.0014150896056148614,0.0002174487573639858,0.0003077736258074876,0.001157496462275986,0.00012043315792466906,0.0002442116813472456,0.0003980984942509894,0.0020139100297402995,0.00047838726620076877,0.002371864138016399,0.00158904861150605,0.0006456555410961425,0.00026428387433469045,0.0006188926171128826,0.0004081345907447118,0.0012377852342257652,0.000839686739974776,0.0001538868129037438,6.690730995814947e-06,0.0010571354973387618,6.690730995814947e-06,0.00031111899130539507,0.0006556916375898649,2.0072192987444842e-05,0,0,8.363413744768685e-05,0,6.021657896233453e-05
ь,0.00018734046788281854,0.00033119118429283993,0.0013682544886441568,0.0002910467983179502,0.00047838726620076877,0.0013381461991629896,6.021657896233453e-05,0.0004382428802258791,0.000839686739974776,0,0.0016894095764432744,0.00015723217840165127,0.0006690730995814948,0.0026528748398406267,0.0008898672224433881,0.00095342916690363,0.00019737656437654095,0.0018031520033721285,0.0008932125879412955,0.00024755704684515306,7.025267545605695e-05,9.032486844350179e-05,0.00015723217840165127,0.0005452945761589182,0.0004348975147279716,2.3417558485352318e-05,0,0,0.00014385071641002137,0.00042820678373215663,0.0006490009065940499
э,3.3453654979074737e-06,3.3453654979074737e-06,0,3.3453654979074737e-06,6.690730995814947e-06,0,0,3.3453654979074737e-06,0,2.3417558485352318e-05,4.0144385974889684e-05,1.3381461991629895e-05,1.672682748953737e-05,2.0072192987444842e-05,0,1.0036096493722421e-05,2.676292398325979e-05,1.0036096493722421e-05,0.0029405762726606695,0,1.0036096493722421e-05,2.676292398325979e-05,0,0,0,0,0,0,0,0,0
ю,6.3561944460242e-05,0.0002910467983179502,0.00032784581879493247,0.0001304692544183915,0.0003579541082760997,3.0108289481167265e-05,6.3561944460242e-05,7.69434064518719e-05,0.00021075802636817085,0,0.0003077736258074876,9.367023394140927e-05,0.00020741266087026338,0.0002810107018242278,0.00020072192987444844,0.0003077736258074876,0.0001538868129037438,0.0004951140936903061,0.00045162434221750897,4.6835116970704635e-05,5.352584796651958e-05,0.00011039706143094664,2.676292398325979e-05,0.00024755704684515306,7.69434064518719e-05,0.0005854389621338079,0,0,2.0072192987444842e-05,7.025267545605695e-05,2.676292398325979e-05
я,0.000260938508836783,0.00043155214923006416,0.001963729547271687,0.0003546087427781922,0.0009935735528785196,0.00028770143282004273,0.0002509024123430605,0.000642310175598235,0.0009266662429203703,5.018048246861211e-05,0.0010136457458659646,0.0011140067108031887,0.0007794701610124414,0.0019603841817737795,0.0006188926171128826,0.0011675325587697084,0.00035126337728028475,0.0018867861408198153,0.0020005285677486694,0.00027431997082841286,8.028877194977937e-05,0.0002943921638158577,4.348975147279716e-05,0.000501804824686121,0.00012377852342257653,0.0004616604387112314,0,0,0.00013715998541420643,0.00018064973688700358,0.00023417558485352318
