, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
й,0.007983649845450502,0,1.689065552634098e-05,0,1.4075546271950814e-05,8.163816837731473e-05,2.8151092543901627e-06,0,0,0,0,0.00013794035346511798,1.4075546271950814e-05,3.941152956146228e-05,0.00042226638815852445,8.44532776317049e-06,0,0,0.00038285485859706217,0.00041100595114096377,0,5.630218508780325e-06,0,6.756262210536392e-05,0.0001801669922809704,0.0001829821015353606,2.8151092543901628e-05,0,0,0,0,1.970576478073114e-05
к,0.004222663881585245,0.006964580295361263,0,0.0005573916323692523,2.8151092543901627e-06,0,0.0008923896336416816,3.378131105268196e-05,1.4075546271950814e-05,0.0028460754561884546,0,2.25208740351213e-05,0.000776970154211685,2.8151092543901627e-06,0.000709407532106321,0.008346798939266833,0,0.0021620039073716453,0.00015483100899145897,0.00069251687657998,0.0022070456554418878,0,0,2.25208740351213e-05,2.8151092543901627e-06,5.630218508780325e-06,0,0,0,0,0,0
л,0.008014616047248794,0.007569828785055148,6.756262210536392e-05,1.4075546271950814e-05,9.289860539487537e-05,7.600794986853439e-05,0.004515435244041821,0.00020831808482487204,3.096620179829179e-05,0.006238282107728601,0,0.0004025606233777933,0.00044478726219364574,5.6302185087803256e-05,0.00046730813622876703,0.006190425250403968,6.474751285097375e-05,0,0.0019818369150906745,0.0001829821015353606,0.001328731568072157,1.126043701756065e-05,5.630218508780325e-06,0,0.00013512524421072783,1.4075546271950814e-05,2.8151092543901627e-06,0.0008332723392994882,0.0035470376605316054,2.8151092543901627e-06,0.0005827276156587637,0.0012865049292563044
м,0.007322099170668814,0.0036821629047423332,1.126043701756065e-05,6.193240359658358e-05,8.163816837731473e-05,8.44532776317049e-06,0.00310788061684674,0,0,0.0028601510024604056,0,0.00010697415166682619,0.00020831808482487204,0.00010134393315804587,0.001278059601493134,0.0028798567672411366,0.00021957852184243271,8.726838688609505e-05,0.000258990051403895,7.600794986853439e-05,0.0016721748971077568,5.630218508780325e-06,0,5.630218508780325e-06,3.659642030707212e-05,1.4075546271950814e-05,2.8151092543901627e-06,0.0006784413303080293,5.911729434219342e-05,0,0,0.0005151649935533998
н,0.0033274591386891726,0.009287045430233147,1.126043701756065e-05,2.8151092543901628e-05,0.00011260437017560651,0.0008923896336416816,0.008735284016372675,1.689065552634098e-05,5.067196657902293e-05,0.006874496799220778,0,0.0002505447236407245,0,0,0.0030853597428116184,0.00967553050733899,0,3.941152956146228e-05,0.0005320556490797408,0.0007460039524133931,0.0036568269214528218,5.911729434219342e-05,0,0.0003349980012724294,0.00015764611824584912,5.630218508780325e-06,0.00015201589973706879,0.0033302742479435626,0.0008867594151329013,0,0.00013794035346511798,0.0014723021400460553
о,0.020775506297399403,1.4075546271950814e-05,0.0029108229690394285,0.007136301959879063,0.0043240078147432906,0.0045435863365857225,0.001570830963949711,0.0015652007454409307,0.0015426798714058092,0.0006643657840360785,0.0037947672749179396,0.002485741471626514,0.00621576123369348,0.005728747332683981,0.00534870758334131,0.0001801669922809704,0.0014216301734670323,0.006145383502333726,0.0054331608609730145,0.00639311311672006,5.6302185087803256e-05,0.00029277136245657695,0.0005545765231148621,0.00011541947942999668,0.0017594432839938517,0.0007516341709221735,0.00023646917736877367,0,0,0.0001435705719738983,0.00043634193443047525,0.0005123498842990096
п,5.3487075833413094e-05,0.0016580993508358058,0,0,0,0,0.0021451132518453043,0,0,0.0012217574164053308,0,9.289860539487537e-05,0.0008783140873697309,0,0.00023646917736877367,0.009151920186022419,7.037773135975407e-05,0.0064043735537376205,3.659642030707212e-05,0.0001745367737721901,0.0008107514652643669,0,0,5.630218508780325e-06,1.970576478073114e-05,1.689065552634098e-05,0,0.00030121669021974744,8.163816837731473e-05,0,3.096620179829179e-05,0.0003490735475443802
р,0.001469487030791665,0.007530417255493685,6.474751285097375e-05,0.00045323258995681623,0.001086632172194603,0.00022239363109682287,0.005686520693868129,0.00022239363109682287,3.659642030707212e-05,0.0053627831296132605,0,0.00039974551412340315,0.000258990051403895,0.00022520874035121302,0.0009712126927646061,0.007918902332599528,5.911729434219342e-05,6.193240359658358e-05,0.00013512524421072783,0.000898019852150462,0.0025279681104423664,5.630218508780325e-06,0.00020268786631609173,7.037773135975407e-05,0.00020550297557048189,0.0004476023714480359,3.941152956146228e-05,0.0013202862403089864,0.0006502902377641276,0,0.00028432603469340646,0.000968397583510216
с,0.0027813279433374807,0.0018016699228097042,6.756262210536392e-05,0.0015764611824584912,3.096620179829179e-05,0.00021676341258804253,0.0029980913559255235,3.659642030707212e-05,1.126043701756065e-05,0.001936795167020432,0,0.0038510694600057426,0.002539228547459927,0.0005573916323692523,0.0008051212467555866,0.0025617494214950484,0.0016102424935111731,0.0001745367737721901,0.0009233558354399734,0.009281415211724367,0.000760079498685344,1.970576478073114e-05,0.00012386480719316716,6.474751285097375e-05,0.0002815109254390163,0.00012386480719316716,2.8151092543901627e-06,0.0002871411439477966,0.00345976927364551,2.8151092543901627e-06,8.163816837731473e-05,0.0037638010731196477
т,0.005754083315973493,0.005191061465095461,2.5335983289511466e-05,0.002004357789125796,2.8151092543901627e-06,0.00014920079048267863,0.005649924273561057,0,5.630218508780325e-06,0.0034006519793033166,0,0.000760079498685344,0.00020831808482487204,2.8151092543901628e-05,0.0012245725256597208,0.01350126398405522,7.882305912292456e-05,0.0028939323135130876,0.0007460039524133931,5.911729434219342e-05,0.0019930973521082355,5.3487075833413094e-05,8.44532776317049e-06,1.970576478073114e-05,0.0004025606233777933,5.630218508780325e-06,5.630218508780325e-06,0.0014300755012302028,0.004476023714480359,0,7.037773135975407e-05,0.00042789660666730475
у,0.006556389453474689,0.00010697415166682619,0.0006193240359658359,0.0006812564395624194,0.0009233558354399734,0.0018101152505728747,0.00015201589973706879,0.0011992365423702093,0.0002674353791670655,2.25208740351213e-05,0.00014920079048267863,0.0009881033482909472,0.0022239363109682287,0.000968397583510216,0.0005292405398253506,2.8151092543901627e-06,0.0005939880526763244,0.0009064651799136325,0.0012358329626772815,0.0016102424935111731,8.44532776317049e-06,0.00017735188302658026,0.0008107514652643669,5.630218508780325e-06,0.0006502902377641276,0.000709407532106321,0.00023646917736877367,0,0,1.689065552634098e-05,0.0010246997685980192,9.289860539487537e-05
ф,3.659642030707212e-05,0.00028432603469340646,0,0,0,0,0.0005433160860973014,0,0,0.0003575188753075507,0,0,7.882305912292456e-05,0,2.8151092543901627e-06,0.0002646202699126753,0,0.0001970576478073114,2.25208740351213e-05,2.25208740351213e-05,5.3487075833413094e-05,1.126043701756065e-05,0,0,0,0,0,3.096620179829179e-05,1.689065552634098e-05,0,0,0
